id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
114141,26/02/18,segunda-feira,06:40:00,PB,230,512,CACHOEIRA DOS ÍNDIOS,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Simples,Curva,Não,1,0,1,0,0,0,1,1,"-6,884796","-38,62239",SR-PB,DEL14/3,UOP03/PB
114164,26/02/18,segunda-feira,08:26:00,PB,230,25,JOÃO PESSOA,Falta de Atenção à Condução,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Não Informado,Sim,1,0,0,1,0,0,1,1,"-7,1707","-34,8684",SR-PB,DEL14/1,UOP00/PB
114326,26/02/18,segunda-feira,18:00:00,PB,230,"18,9",JOÃO PESSOA,Falta de Atenção à Condução,Engavetamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,0,0,3,0,0,3,"-7,1302226","-34,8513564",SR-PB,DEL14/1,UOP00/PB
114393,27/02/18,terça-feira,00:45:00,PB,230,"23,1",JOÃO PESSOA,Velocidade Incompatível,Capotamento,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,1,0,0,0,0,1,0,1,"-7,1569502","-34,85784012",SR-PB,DEL14/1,UOP00/PB
114525,27/02/18,terça-feira,11:05:00,PB,230,"1,1",CABEDELO,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Interseção de vias,Sim,2,0,1,0,1,0,1,2,"-6,9753","-34,8318",SR-PB,DEL14/1,UOP00/PB
114572,27/02/18,terça-feira,15:55:00,PB,101,"99,6",ALHANDRA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado,Não,4,0,3,0,1,0,3,1,"-7,261264","-34,936136",SR-PB,DEL14/1,UOP01/PB
122976,27/02/18,terça-feira,05:00:00,PB,101,"90,1",JOÃO PESSOA,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Com Vítimas Feridas,Amanhecer,Decrescente,Céu Claro,Múltipla,Não Informado,Não,2,0,2,0,0,0,2,1,"-7,18566611","-34,90208387",SR-PB,DEL14/1,UOP01/PB
114696,28/02/18,quarta-feira,07:20:00,PB,230,157,CAMPINA GRANDE,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Simples,Interseção de vias,Sim,4,0,2,0,2,0,2,2,"-7,24804681","-35,86143494",SR-PB,DEL14/2,UOP01/PB
114697,28/02/18,quarta-feira,06:25:00,PB,230,71,SOBRADO,Velocidade Incompatível,Colisão com objeto estático,Sem Vítimas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Reta,Não,1,0,0,0,0,1,0,1,"-7,18597669","-35,26263718",SR-PB,DEL14/1,UOP02/PB
114718,28/02/18,quarta-feira,09:00:00,PB,101,"54,9",SANTA RITA,Defeito Mecânico no Veículo,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Curva,Não,3,0,3,0,0,0,3,1,"-6,965","-35,0848",SR-PB,DEL14/1,UOP03/PB
