id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veículos,latitude,longitude,regional,delegacia,uop
193661,26/02/19,terça-feira,07:40:00,PB,230,"22,9",JOÃO PESSOA,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,2,0,2,0,2,3,"-7,1495","-34,8517",SR-PB,DEL14/1,UOP00/PB
193798,26/02/19,terça-feira,19:20:00,PB,101,82,BAYEUX,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-7,1313","-34,9326",SR-PB,DEL14/1,UOP00/PB
193806,26/02/19,terça-feira,19:32:00,PB,101,45,MAMANGUAPE,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Dupla,Curva,Não,3,0,2,0,0,1,2,1,"-6,882336","-35,13124",SR-PB,DEL14/1,UOP03/PB
193936,26/02/19,terça-feira,17:15:00,PB,230,"308,2",SÃO MAMEDE,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Simples,Desvio Temporário,Não,1,0,1,0,0,0,1,1,"-6,922921","-37,05399",SR-PB,DEL14/3,UOP01/PB
200559,26/02/19,terça-feira,19:00:00,PB,104,"113,9",LAGOA SECA,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Desvio Temporário,Sim,5,0,1,0,4,0,1,3,"-7,158821","-35,85548",SR-PB,DEL14/2,UOP04/PB
205884,26/02/19,terça-feira,09:48:00,PB,101,"85,7",JOÃO PESSOA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Sim,1,0,1,0,0,0,1,1,"-7,1548","-34,9077",SR-PB,DEL14/1,UOP00/PB
193974,27/02/19,quarta-feira,06:50:00,PB,230,335,PATOS,Restrição de Visibilidade,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Não Informado,Sim,2,0,2,0,0,0,2,2,"-7,0128","-37,2644",SR-PB,DEL14/3,UOP01/PB
195416,27/02/19,quarta-feira,14:15:00,PB,230,"39,2",SANTA RITA,Falta de Atenção à Condução,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,1,0,0,2,2,"-7,1381","-34,9707",SR-PB,DEL14/1,UOP00/PB
194031,28/02/19,quinta-feira,00:40:00,PB,230,"469,7",SOUSA,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-6,7839","-38,2775",SR-PB,DEL14/3,UOP03/PB
194048,28/02/19,quinta-feira,07:30:00,PB,230,28,JOÃO PESSOA,Falta de Atenção à Condução,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Viaduto,Não,1,0,1,0,0,0,1,1,"-7,1651","-34,8941",SR-PB,DEL14/1,UOP00/PB
194140,28/02/19,quinta-feira,16:50:00,PB,230,16,JOÃO PESSOA,Não guardar distância de segurança,Engavetamento,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,4,0,0,0,4,0,0,4,"-7,1039","-34,8458",SR-PB,DEL14/1,UOP00/PB
194208,28/02/19,quinta-feira,23:20:00,PB,230,"38,6",SANTA RITA,Animais na Pista,Atropelamento de Animal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Não,1,0,1,0,0,0,1,1,"-7,137307","-34,96916",SR-PB,DEL14/1,UOP00/PB
194233,01/03/19,sexta-feira,06:20:00,PB,101,"89,2",JOÃO PESSOA,Falta de Atenção à Condução,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Garoa/Chuvisco,Dupla,Retorno Regulamentado,Sim,2,0,0,1,0,1,1,2,"-7,1807","-34,9005",SR-PB,DEL14/1,UOP01/PB
194326,01/03/19,sexta-feira,13:25:00,PB,230,5,CABEDELO,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-7,01","-34,8312",SR-PB,DEL14/1,UOP00/PB
194330,01/03/19,sexta-feira,13:00:00,PB,104,"114,2",LAGOA SECA,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Simples,Reta,Sim,3,0,2,0,1,0,2,2,"-7,162039","-35,85713",SR-PB,DEL14/2,UOP04/PB
194420,01/03/19,sexta-feira,19:00:00,PB,230,11,CABEDELO,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Dupla,Reta,Sim,2,0,0,1,1,0,1,1,"-7,0596","-34,8506",SR-PB,DEL14/1,UOP00/PB
194456,01/03/19,sexta-feira,20:00:00,PB,230,"160,6",CAMPINA GRANDE,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,5,0,1,2,1,1,3,2,"-7,2436","-35,9375",SR-PB,DEL14/2,UOP01/PB
194614,02/03/19,sábado,14:28:00,PB,230,12,CABEDELO,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,2,0,2,0,0,0,2,2,"-7,068","-34,85",SR-PB,DEL14/1,UOP00/PB
194719,02/03/19,sábado,22:00:00,PB,427,"36,7",POMBAL,Velocidade Incompatível,Tombamento,Com Vítimas Fatais,Plena Noite,Decrescente,Nublado,Simples,Curva,Não,2,1,1,0,0,0,1,1,"-6,758809","-37,76877",SR-PB,DEL14/3,UOP02/PB
194807,03/03/19,domingo,06:50:00,PB,230,"151,5",CAMPINA GRANDE,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Dupla,Interseção de vias,Não,2,0,1,0,1,0,1,2,"-7,2587","-35,8778",SR-PB,DEL14/2,UOP01/PB
194932,03/03/19,domingo,19:15:00,PB,230,240,JUAZEIRINHO,Ingestão de álcool,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,4,0,0,3,1,0,3,2,"-7,0634","-36,563",SR-PB,DEL14/2,UOP02/PB
195020,04/03/19,segunda-feira,07:30:00,PB,101,"11,2",MAMANGUAPE,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Crescente,Garoa/Chuvisco,Dupla,Retorno Regulamentado,Sim,4,0,1,0,3,0,1,1,"-6,6035","-35,1404",SR-PB,DEL14/1,UOP03/PB
195026,04/03/19,segunda-feira,08:44:00,PB,230,28,JOÃO PESSOA,Avarias e/ou desgaste excessivo no pneu,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Não Informado,Sim,3,0,1,0,2,0,1,2,"-7,165621","-34,89803",SR-PB,DEL14/1,UOP00/PB
195057,04/03/19,segunda-feira,12:00:00,PB,101,"63,2",SANTA RITA,Defeito na Via,Colisão com objeto estático,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Não,4,0,2,0,2,0,2,1,"-7,0381","-35,0532",SR-PB,DEL14/1,UOP03/PB
195111,04/03/19,segunda-feira,18:25:00,PB,104,"153,8",QUEIMADAS,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Fatais,Plena Noite,Crescente,Nublado,Simples,Desvio Temporário,Não,2,1,0,0,0,1,0,1,"-7,439395","-35,90184",SR-PB,DEL14/2,UOP03/PB
